id;name;display_name;uri;fhir_organization_id;client_direction
1;Digitized;Prairie;calculate open-source;solutions e-services Belarus;BIDIRECTIONAL
2;Carolina;Assistant;Card;bandwidth-monitored Cross-platform Plastic;BIDIRECTIONAL
3;invoice Iowa;Global Agent;Sausages;Legacy Concrete;INBOUND
4;payment Fantastic Ball;viral transform;Games;Junction;INBOUND
5;payment;Wisconsin Account ivory;USB;Pakistan;BIDIRECTIONAL
6;Assurance needs-based;Mountains actuating;dynamic Licensed Account;Soft;OUTBOUND
7;input Loan;Rwanda;fuchsia Practical Pakistan;Loan;INBOUND
8;Island;Pizza;invoice Quality virtual;Shoes utilisation Investment;BIDIRECTIONAL
9;Cambridgeshire leverage deposit;Zloty hack;Home;Roads algorithm;INBOUND
10;Movies transmitting;Borders Mexico Metrics;Chair;deposit Principal;OUTBOUND
